competition,competition_key,season,player_id,player_name,team_code,games_played,minutes,points,rebounds,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,fg2_made,fg2_att,fg3_made,fg3_att,ft_made,ft_att,points_pg,rebounds_pg,assists_pg,steals_pg,blocks_pg,turnovers_pg,minutes_pg,fg2_pct,fg3_pct,ft_pct,pir,image_url,player_slug,position
EuroCup,eurocup,2025,13927,Mitchell Creek,CLU,19,574.9166666666666,336,77,28,49,39,12,4,41,48,100,144,22,47,70,91,17.68,4.05,2.05,0.63,0.21,2.16,30.26,0.694,0.468,0.769,377.0,https://media-cdn.cortextech.io/1ad95f51-74e6-49cc-a323-1bb3ff3e002d.png,,
EuroCup,eurocup,2025,9896,Dusan Miletic,CLU,20,441.46666666666664,252,151,44,107,46,24,23,29,63,97,143,5,16,43,64,12.6,7.55,2.3,1.2,1.15,1.45,22.07,0.678,0.312,0.672,378.0,https://media-cdn.cortextech.io/6e7b25a3-f096-4e25-8f5b-48f00b42c9f4.png,,
EuroCup,eurocup,2025,13926,Iverson Molinar,CLU,17,434.35,237,32,8,24,67,16,4,35,38,72,143,18,43,39,47,13.94,1.88,3.94,0.94,0.24,2.06,25.55,0.503,0.419,0.83,206.0,https://media-cdn.cortextech.io/fc6290e3-0b14-41fe-b114-3860f50b7d90.png,,
EuroCup,eurocup,2025,13251,Trey Woodbury,CLU,20,438.4,200,48,6,42,55,22,3,37,48,46,79,30,64,18,26,10.0,2.4,2.75,1.1,0.15,1.85,21.92,0.582,0.469,0.692,189.0,https://media-cdn.cortextech.io/785c6591-a714-4675-b329-af0b841bb581.png,,
EuroCup,eurocup,2025,11797,Karel Guzman,CLU,18,438.06666666666666,166,79,19,60,32,21,3,25,37,34,61,24,69,26,39,9.22,4.39,1.78,1.17,0.17,1.39,24.34,0.557,0.348,0.667,194.0,https://media-cdn.cortextech.io/52a45fa4-2f33-452b-9908-826270198523.png,,
EuroCup,eurocup,2025,11801,Patrick Richard,CLU,18,300.65,95,27,5,22,43,7,3,16,31,9,18,20,61,17,19,5.28,1.5,2.39,0.39,0.17,0.89,16.7,0.5,0.328,0.895,84.0,https://media-cdn.cortextech.io/17f0e0b8-e2d8-432b-8444-646a4425dc89.png,,
EuroCup,eurocup,2025,14185,Nighael Ceaser,CLU,12,219.0,90,66,21,45,11,9,3,13,41,40,63,0,1,10,18,7.5,5.5,0.92,0.75,0.25,1.08,18.25,0.635,0.0,0.556,110.0,https://media-cdn.cortextech.io/43cc3fcf-23ec-4fc4-b68f-54fecb3fbb0c.png,,
EuroCup,eurocup,2025,1694,Saulius Kulvietis,CLU,17,165.46666666666667,62,17,6,11,12,2,0,9,26,5,12,16,37,4,5,3.65,1.0,0.71,0.12,0.0,0.53,9.73,0.417,0.432,0.8,34.0,https://media-cdn.cortextech.io/c3ed2acb-561b-43a9-81f3-4501588647bb.png,,
EuroCup,eurocup,2025,6546,Jeffery Taylor,CLU,16,324.98333333333335,42,47,14,33,22,16,7,10,52,10,20,4,30,10,16,2.62,2.94,1.38,1.0,0.44,0.62,20.31,0.5,0.133,0.625,48.0,https://media-cdn.cortextech.io/900e0281-8293-403f-a89d-3c52b99e5df7.png,,
EuroCup,eurocup,2025,13514,Nathan Mensah,CLU,8,133.0,41,47,14,33,4,3,9,8,18,16,27,0,0,9,15,5.12,5.88,0.5,0.38,1.12,1.0,16.62,0.593,,0.6,72.0,https://media-cdn.cortextech.io/11a6db2e-4364-4e6f-82c8-8e1137f184a5.png,,
